Q1,Q2,Q3,Q4,Q5,Q9,autonomy_level,employer_support_score,university_support_score,self_directed_learning_score,skill_application_score,learning_integration_score,high_self_directed,high_skill_application,high_learning_integration,dataset,Finished,counterbalanced
25-34,Female,University of Glasgow,Data Science,Year 2,Moderate autonomy,3,3.6,3.9,3.2,3.7,3.5,0,0,0,glasgow,TRUE,TRUE
18-24,Male,University of Glasgow,Computing Science,Year 1,Significant autonomy,4,3.9,4,3.8,4.1,3.7,0,1,0,glasgow,TRUE,TRUE
35-44,Female,University of Glasgow,Business Management,Year 3,Moderate autonomy,3,3.5,3.7,3.3,3.8,3.4,0,0,0,glasgow,TRUE,TRUE
25-34,Male,University of Glasgow,Engineering,Year 2,Little autonomy,2,3,3.5,2.7,3.2,3,0,0,0,glasgow,TRUE,TRUE
45-54,Female,University of Glasgow,Business Analytics,Year 4,Significant autonomy,4,4.1,3.9,4,4.2,3.9,1,1,0,glasgow,TRUE,TRUE
18-24,Male,University of Glasgow,Software Development,Year 1,Moderate autonomy,3,3.4,3.8,3.1,3.6,3.3,0,0,0,glasgow,TRUE,TRUE
25-34,Female,University of Glasgow,Data Analytics,Year 2,Significant autonomy,4,3.8,4.1,3.9,4,3.8,0,1,0,glasgow,TRUE,TRUE
35-44,Male,University of Glasgow,Project Management,Year 3,Complete autonomy,5,4.2,4,4.3,4.5,4.2,1,1,1,glasgow,TRUE,TRUE
25-34,Female,University of Glasgow,Information Systems,Year 2,Little autonomy,2,3.1,3.6,2.8,3.3,3,0,0,0,glasgow,TRUE,TRUE
18-24,Male,University of Glasgow,Cyber Security,Year 1,No autonomy,1,2.5,3.2,2.3,2.7,2.4,0,0,0,glasgow,TRUE,TRUE
